uid,cards,notes,decks,presets
61,18410,9850,16,1
62,17193,15235,275,1
63,81,81,2,1
64,53632,39812,706,1
65,173,173,2,1
66,14328,6927,62,1
67,4676,4676,31,2
68,13122,6131,152,1
69,10497,7266,123,8
70,70132,60007,1363,3
71,2137,1864,22,1
72,1397,1395,65,1
73,17089,11321,472,1
74,2802,954,360,1
75,469,469,6,1
76,3208,2032,17,1
77,3020,3020,18,4
78,4266,4266,2,1
79,4520,4520,4,1
80,15960,9603,13,2
81,13044,12990,261,1
82,36191,29501,56,1
83,11400,8732,13,2
84,40728,32817,98,1
85,3726,1906,2,1
86,11668,10263,138,3
87,1824,1824,11,1
88,5932,4647,14,1
89,3198,1599,4,1
90,43079,34581,54,1
91,5117,1949,13,3
93,8033,8033,291,1
94,839,839,1,1
95,10,10,1,1
96,1958,1958,2,1
97,10807,10792,84,2
98,9014,8874,16,1
99,20957,19510,229,1
100,4629,4628,45,1
101,10360,6905,197,1
21,81808,59330,1632,1
22,352,352,11,1
23,4844,4621,80,1
24,6092,4449,5,1
25,65848,64203,696,2
26,22896,21273,44,1
27,1873,1786,16,1
28,5054,2893,15,1
29,16068,12810,103,6
30,1622,785,35,2
31,18846,18478,369,2
32,7815,5777,42,1
33,2795,2795,97,1
34,69464,68928,1072,1
35,12050,7280,61,2
36,11748,11748,216,1
37,114,114,5,1
38,2272,1670,9,2
39,4553,2362,12,1
40,44231,35925,75,1
41,11455,8985,200,1
42,12976,10776,166,1
43,49133,38734,177,3
44,33989,30376,330,1
45,66473,52529,377,3
46,690,690,20,1
47,15503,14949,247,1
48,10717,10551,94,2
49,14174,10315,102,1
50,17108,16881,79,1
51,1373,1361,57,1
52,2509,2159,26,1
53,6079,4322,44,2
54,4,4,1,1
55,87020,73370,378,12
56,29198,26699,60,1
57,14297,14240,326,1
58,4442,4291,76,1
59,49389,44616,511,2
60,21117,13282,3,2
1,4005,4005,35,1
2,129316,84425,178,13
3,883,883,1,1
4,2200,2182,50,1
5,20864,15855,168,1
6,54094,36663,40,2
7,1917,1916,34,1
8,4039,4039,152,1
9,25505,20688,226,1
10,8694,6307,55,1
11,27797,25998,462,1
12,4939,4939,3,1
13,17740,9525,51,6
14,4294,4294,2,1
15,42422,29095,4947,5
16,15389,13969,472,1
17,20827,13619,471,2
18,18971,15362,57,1
19,6603,5378,4,2
20,3403,3403,5,1
102,47239,37152,406,1
103,43672,34928,57,1
104,6988,6956,139,3
105,55699,44771,112,3
106,1143,1143,39,1
107,38,38,4,1
108,6463,6462,11,1
109,2857,2806,9,1
110,61586,51959,1460,1
111,3136,3136,335,3
112,21333,21333,10,6
113,43843,32914,592,6
114,20600,20600,720,1
115,12441,8987,44,13
116,1154,983,17,1
117,4261,4209,8,1
118,49267,41313,245,1
119,30535,30007,12,6
120,5951,3111,72,6
121,35231,28771,2,1
122,23088,23046,555,1
123,44192,35643,90,2
124,44200,35488,62,1
125,55031,40433,62,1
126,4891,4888,124,1
127,30731,29716,510,1
128,49673,40027,126,1
129,8543,6266,151,1
130,23267,20333,205,1
131,2527,1698,25,1
132,68711,39160,63,2
133,43317,34603,54,1
134,5139,5139,19,1
135,6307,6307,5,1
136,957,957,2,1
137,2276,2276,9,1
138,6097,5650,70,1
139,3501,3289,8,1
140,11974,8564,2,1
141,33607,29749,300,1
142,10877,7272,441,2
143,70186,58746,295,1
144,6700,6700,4,4
145,4211,3423,191,1
146,7733,7733,6,3
147,1438,1394,20,5
148,10069,5350,5,2
149,55854,45633,293,3
150,1176,1106,3,1
151,1333,1004,38,1
152,4571,4570,20,1
153,8968,4571,3,3
154,993,548,3,3
155,4160,4160,3,2
156,1168,1155,8,1
157,164,164,5,1
158,9946,9946,4,1
159,10529,9603,347,1
160,39528,36846,447,1
161,7273,5553,78,3
162,5565,4096,28,3
163,10392,10392,245,1
164,19219,11049,8,5
165,1226,866,21,1
166,936,936,12,1
167,1931,1931,18,1
168,8786,8786,101,4
169,4533,4533,2,1
170,5662,5539,76,1
172,8875,7559,141,1
173,107835,84819,182,4
174,33683,22301,695,1
175,9506,4753,91,1
176,34118,34118,842,1
177,36759,31639,423,1
178,7762,7762,1,1
179,940,940,30,1
180,74646,58701,569,2
181,47100,36829,120,1
182,9760,6626,44,2
223,1493,1019,2,1
224,1501,1501,1,1
225,431,431,9,1
226,2831,2831,141,1
227,47609,38653,78,1
228,23199,20375,297,1
229,23484,17627,78,2
230,1995,1995,52,1
231,4236,4236,5,1
232,1441,1441,32,1
233,5221,5221,11,4
234,7600,7517,67,2
235,4722,4560,170,1
236,36257,30149,109,1
237,4287,4227,139,1
238,16234,16205,30,5
239,58590,46851,721,3
240,14559,12190,16,1
241,5488,5488,6,2
242,9567,9567,1,1
203,1313,1313,4,3
204,4531,4531,2,1
205,3466,3466,13,1
206,714,357,6,1
207,7703,5485,8,4
208,24978,15790,375,2
209,5534,2590,220,2
210,10969,10969,501,2
