user_id,N_cards,N_notes,N_decks,N_presets,mem_bytes
9528,1170003,979851,2767,2,17932994816
629,1256705,931909,764,8,17649601280
325,699118,680790,308,22,11936617728
2231,528467,452294,123,1,8207206144
5813,588774,398824,203,1,7772950528
9249,444759,430198,33,4,7552896000
7021,457979,407127,198,1,7312047616
8257,366033,363039,99,1,6334562304
9693,381788,327070,134,10,5934243584
4868,367008,320498,149,47,5784861184
5208,274790,272658,334,4,4761588480
8715,273121,268594,325,2,4701082624
9641,256140,240773,246,1,4262562048
1639,266065,226044,28,1,4109658880
7496,306617,205782,2523,51,4065686272
3592,250554,211599,4906,3,3938503424
7689,226109,223623,18,12,3904131328
5200,223405,221241,10,4,3861020416
507,236035,216317,330,1,3857229824
9105,317708,187228,222,1,3831004672
8790,212014,211804,61,5,3689138176
3034,242404,193502,1604,2,3609265920
1685,228552,192820,13,2,3512381696
6962,207287,199651,17,1,3509078528
7446,217125,187934,3247,5,3455196416
356,293602,163989,396,5,3425768192
9304,209364,191531,18,1,3412120320
9461,221351,176478,3785,1,3333331712
1445,195233,188864,44,8,3316345856
2288,188650,185314,28,6,3241043200
1375,200084,178325,59,4,3200069120
2961,204950,175680,107,8,3187600640
3586,184202,181202,9,1,3167603200
4609,200860,173024,66,3,3134345216
853,226811,163344,219,6,3123604480
2578,203923,164455,1852,2,3066876160
8270,174349,162460,6353,2,2990476800
3069,171583,171358,135,1,2986355456
3699,202059,157548,1151,6,2956435456
2140,210573,150520,2610,3,2927089920
1056,193792,157166,1750,7,2925910528
1568,192958,159132,361,2,2923704064
2749,171529,162437,771,1,2880719360
8133,203739,151254,990,3,2878730496
9364,184185,150427,1686,2,2794937088
2974,162149,156308,47,1,2747273984
3530,184461,145841,2231,2,2745750784
9270,182890,143746,3828,1,2739348992
9875,202091,139364,33,11,2699767552
7664,197631,140536,76,21,2696538368
9865,168405,147954,23,1,2665012480
2760,166788,144088,2554,1,2651560448
8150,171325,144788,702,10,2648322560
3455,193806,134621,279,22,2606212608
9972,173950,137987,625,2,2569507840
3426,169953,138271,717,1,2557409280
9097,151709,145069,54,7,2555302912
1084,180239,131867,100,1,2507822592
3573,174793,127676,66,2,2428825088
5423,164281,129979,940,9,2428450816
9662,165044,127363,1450,1,2406390528
7537,170432,125328,958,2,2394718464
8095,167012,124287,2165,1,2387241728
5080,155386,127992,414,2,2354549504
4377,146411,130776,36,2,2345257984
372,244845,97481,52,5,2339260928
6475,153757,125432,909,2,2322653696
4939,162085,121241,993,2,2305641728
8992,145971,125666,1527,2,2302582272
2392,159821,119175,1765,6,2282306304
6413,130137,130137,14,1,2265694720
9889,128435,128435,15,4,2236122880
2476,147964,118864,2207,2,2234286336
7477,131892,127005,24,2,2232628224
2963,134323,125108,12,2,2218231808
9550,147048,112372,5681,1,2206002688
4721,134220,122311,1267,1,2203099904
969,197311,102479,31,2,2197242112
2435,158807,113049,1440,3,2192215552
6804,124681,124681,48,1,2171308544
7271,183586,102160,650,1,2144108544
5032,146403,113917,619,2,2135260928
4631,147963,112515,1262,1,2134925824
5134,128935,119867,27,2,2126617856
9228,131235,114907,208,6,2075072768
5624,139785,107330,1950,6,2043681792
8108,131945,111210,776,1,2039717120
3156,122909,113517,996,2,2034355456
2482,140062,108317,190,5,2027122432
9716,119131,105826,6528,8,2013879296
7738,139970,106418,612,3,2009248768
481,125768,110313,859,3,2002594560
9501,128395,107167,1161,8,1978275584
8035,113453,113453,116,1,1977035264
4071,125868,107169,1435,3,1972008704
9547,133089,105053,576,2,1960841472
1002,126722,106919,422,2,1954813952
2061,180294,89562,24,9,1954509312
3174,126458,101437,2403,3,1916590336
849,126797,103595,485,1,1912825856
2132,126145,104150,123,11,1911063296
5404,137113,99837,52,1,1901118976
8426,131939,99753,1276,1,1898812416
6276,109031,108975,10,3,1897506816
6701,119021,102652,1419,1,1882931968
5446,125051,101535,739,8,1882844928
7807,119045,100208,1660,5,1855375104
3751,111455,101052,2690,2,1851253760
4504,120066,99734,1424,2,1849482496
7272,105916,105641,244,2,1844482048
7678,118218,100055,1115,1,1840238848
1630,127023,97434,764,1,1838228224
5047,121880,99455,376,3,1835503872
4376,126336,96731,1140,5,1832657664
266,151725,88891,209,2,1824545536
758,125185,95802,1371,3,1819514624
1729,121178,97271,1035,4,1815419392
6952,122904,94642,2483,3,1813800448
6389,125439,95990,562,5,1809017600
2713,123527,95007,1376,2,1801993472
4252,158591,85029,60,8,1801488640
4441,115452,96825,1815,1,1798215936
1766,117479,96444,1565,5,1797763328
7950,108940,101052,58,15,1794660352
6846,120849,93676,2618,1,1794568960
7484,113610,98953,283,1,1791313664
2810,121267,95696,690,1,1789198592
8377,121809,95034,993,4,1788228096
6198,128514,93339,531,13,1787353344
7540,140631,89768,18,9,1784481024
8810,124099,92841,1318,3,1775206912
8653,115574,96588,545,4,1773583616
446,114555,96129,1064,4,1772190976
2913,114966,92887,2728,1,1760579840
384,116581,94016,676,1,1746627328
2082,117665,94316,11,9,1743789824
1353,114949,94367,351,5,1738502144
2277,119578,90200,2312,1,1738328064
8462,111513,95611,11,1,1733819392
4435,115675,92010,1489,1,1730646784
8732,112173,94598,57,6,1724332032
2037,106802,93569,2102,2,1723069952
9243,118063,90686,1082,2,1716681216
2425,108480,93061,1654,5,1715980544
7637,110574,93258,961,1,1715549696
4893,108913,93074,1215,2,1710353408
1251,121611,88918,716,1,1702654720
3025,96879,96855,798,1,1700073984
8708,97963,97374,13,2,1697915392
8504,113688,90783,1013,1,1697693440
9631,112343,91750,512,1,1695743744
4683,109094,92166,377,1,1684685312
2009,110332,90525,1276,1,1684297984
7373,115798,89559,624,6,1684189184
7901,112065,91483,60,9,1683283968
822,102029,92866,1384,1,1680607488
7649,125955,85520,748,3,1677778688
3235,129378,85250,78,4,1677500160
361,105348,92211,815,4,1676634112
7603,96808,95950,40,1,1674754048
7820,106377,89968,1822,3,1669344512
2,129316,84425,178,13,1668317440
9063,112369,87787,1345,1,1658616832
9668,102920,89710,1173,2,1639620352
679,104929,88787,1331,4,1639089408
9990,113232,84828,2072,5,1636447744
